time,filter_id,updated_x,updated_y
1699174926229120,0,127.571,82.0656
1699174929417340,0,127.569,82.0644
1699174929901890,0,127.57,82.0647
1699174930421470,0,127.57,82.0648
1699174930949700,0,127.57,82.0649
1699174931465600,0,127.57,82.0649
1699174931974360,0,127.466,82.1817
1699174932501860,0,127.402,82.2535
1699174933059320,0,127.446,82.2041
1699174933595000,0,127.283,82.3558
1699174934089780,0,127.167,82.4629
1699174934664480,0,127.084,82.5399
1699174935170630,0,127.024,82.5957
1699174936176830,0,126.98,82.6361
1699174936688570,0,126.887,82.5907
1699174937207490,0,126.787,82.5594
1699174937738280,0,126.71,82.5312
1699174938250370,0,126.595,82.4381
1699174938771150,0,126.503,82.3585
1699174939304230,0,126.431,82.2904
1699174939838040,0,126.376,82.2325
1699174940341520,0,126.336,82.1837
1699174940888350,0,126.307,82.1429
1699174941376690,0,126.288,82.1094
1699174941931530,0,126.278,82.0823
1699174942458150,0,126.275,82.0609
1699174942961560,0,126.277,82.0446
1699174943479590,0,126.283,82.0326
1699174944041230,0,126.292,82.0242
1699174944567070,0,126.303,82.019
1699174945082350,0,126.316,82.0163
1699174945622830,0,126.329,82.0157
1699174946124460,0,126.342,82.0167
1699174946676120,0,126.356,82.0189
1699174947199430,0,126.368,82.0221
1699174947747100,0,126.38,82.0258
1699174948318860,0,126.391,82.0298
1699174948840630,0,126.327,82.0967
1699174949404540,0,126.271,82.1554
1699174949944160,0,126.223,82.2063
1699174950452090,0,126.183,82.2496
1699174951516730,0,126.15,82.2859
1699174952593330,0,126.019,82.2678
1699174953095500,0,126.011,82.2979
1699174953568170,0,125.856,82.3298
1699174954545920,0,125.772,82.3008
1699174956851820,0,125.685,82.4375
1699174957320330,0,125.584,82.4464
1699174957814760,0,125.505,82.5682
1699174958289810,0,125.441,82.6717
1699174958790250,0,125.392,82.7582
1699174959261550,0,125.356,82.8292
1699174959747640,0,125.328,82.7697
1699174960213660,0,125.309,82.7127
1699174960693380,0,125.3,82.7756
1699174961128770,0,125.288,82.4783
1699174961621200,0,125.291,82.5654
1699174962059750,0,125.22,82.5876
1699174962534150,0,125.164,82.7229
1699174963445400,0,125.119,82.8403
1699174964994610,0,125.084,82.9406
1699174966307870,0,125.058,83.0248
1699174967170130,0,124.989,83.0313
1699174968013790,0,124.932,83.0324
1699174969824860,0,124.81,82.9747
1699174970937560,0,124.707,82.921
1699174971321550,0,124.623,82.8719
1699174971750730,0,124.556,82.8276
1699174972191740,0,124.503,82.7884
1699174972631740,0,124.388,82.8149
1699174973052840,0,124.293,82.8384
1699174973514040,0,124.218,82.8589
1699174974905980,0,124.156,82.7616
1699174975352160,0,124.066,82.8436
1699174976265580,0,123.994,82.9157
1699174976700690,0,123.938,82.9781
1699174977148510,0,123.896,83.0314
1699174977615480,0,123.867,83.0761
1699174978093840,0,123.847,83.113
1699174978585310,0,123.837,83.1427
1699174979294220,0,123.755,83.1122
1699174980007490,0,123.689,83.083
1699174980767570,0,123.637,83.0557
1699174981565490,0,123.597,83.0306
1699174981999140,0,123.567,83.0079
1699174982397840,0,123.547,82.9876
1699174992976630,0,123.298,82.8085
1699174993395090,0,123.086,82.6533
1699174993849740,0,122.908,82.5207
1699174994288830,0,122.762,82.4092
1699174995014710,0,122.644,82.3172
1699174996116370,0,122.552,82.2427
1699174996560370,0,122.438,82.2365
1699174996986390,0,122.392,82.1846
1699174997688340,0,122.363,82.1448
1699174998087420,0,122.271,82.1754
1699174998499300,0,122.2,82.2072
1699174998934040,0,122.102,82.2912
1699174999362930,0,122.026,82.3677
1699174999795910,0,121.967,82.4361
1699175000505040,0,121.846,82.444
1699175001167090,0,121.749,82.4507
1699175001822860,0,121.672,82.4563
1699175002198920,0,121.568,82.4017
1699175002891860,0,121.485,82.3538
1699175003616920,0,121.422,82.3124
1699175004285590,0,121.376,82.2773
1699175005051580,0,121.343,82.2479
1699175005720810,0,121.323,82.2238
1699175006374810,0,121.312,82.2045
1699175007066810,0,121.309,82.1894
1699175007755090,0,121.312,82.178
1699175008410580,0,121.242,82.118
1699175009103040,0,121.263,82.1191
1699175009814080,0,121.099,82.1362
1699175010174530,0,121.569,81.7278
1699175010560130,0,121.374,81.799
1699175010656330,0,121.826,80.557
1699175010939650,0,121.598,80.7913
1699175011109670,0,122.091,79.6346
1699175011329750,0,121.823,80.0225
1699175011746410,0,121.585,80.3848
1699175011977560,0,122.11,79.2749
1699175012131830,0,121.832,79.7655
1699175012482480,0,121.584,80.2142
1699175012862640,0,121.367,80.618
1699175013216850,0,121.179,80.9759
1699175014009570,0,121.019,81.2884
1699175014435730,0,120.886,81.5572
1699175014836370,0,120.776,81.7848
1699175015250770,0,120.689,81.9742
1699175015668530,0,120.62,82.1289
1699175016065280,0,120.568,82.2525
1699175017565840,0,120.543,82.415
1699175017928530,0,120.471,82.4199
1699175018288340,0,120.335,82.3604
1699175019599700,0,120.224,82.2979
1699175019955360,0,120.798,80.9996
1699175020313330,0,120.643,81.0972
1699175020466510,0,121.173,79.9421
1699175021107420,0,121.641,78.9302
1699175021710890,0,122.045,78.0598
1699175022343270,0,122.39,77.3251
1699175022978230,0,122.679,76.7177
1699175023617120,0,122.915,76.2269
1699175024267570,0,123.104,75.8411
1699175024895820,0,123.251,75.5481
1699175025530460,0,123.362,75.3357
1699175025669080,0,122.637,76.6229
1699175025981710,0,122.547,77.5058
1699175026138770,0,122.706,77.1462
1699175026353360,0,122.043,78.2486
1699175026753520,0,122.256,77.812
1699175026999690,0,121.651,78.8256
1699175027305230,0,121.916,78.3138
1699175027991620,0,122.155,77.8536
1699175028379400,0,121.574,78.8464
1699175028775720,0,120.99,79.655
1699175029354900,0,121.355,79.0199
1699175029433110,0,120.864,79.8333
1699175029865660,0,121.265,79.1499
1699175030177140,0,120.646,79.9305
1699175030574570,0,121.091,79.2124
1699175030837740,0,120.513,79.9616
1699175031092790,0,120.993,79.2203
1699175031545040,0,120.446,79.95
1699175032136960,0,120.951,79.1946
1699175032337180,0,120.424,79.9139
1699175032623260,0,120.945,79.1513
1699175033014600,0,120.431,79.8666
1699175033234690,0,120.962,79.1015
1699175033713610,0,121.436,78.4195
1699175033731990,0,120.867,79.2313
1699175034458900,0,120.368,79.9417
1699175034887930,0,120.911,79.1725
1699175035203060,0,120.416,79.8814
1699175035882200,0,119.987,80.4949
1699175036024780,0,120.513,79.5944
1699175036555930,0,120.088,80.2254
1699175036601930,0,120.615,79.342
1699175037205110,0,121.085,78.5545
1699175037909310,0,120.596,79.3193
1699175038312960,0,121.055,78.4397
1699175038650140,0,120.565,79.2329
1699175039419480,0,120.135,79.9298
1699175040076080,0,119.764,80.5332
1699175040865100,0,119.285,80.9922
1699175041496250,0,118.918,81.3237
1699175041799950,0,119.614,80.1891
1699175042114260,0,119.12,80.7011
1699175042606620,0,119.786,79.614
1699175043482370,0,119.289,80.1907
1699175043782100,0,119.978,79.1617
1699175044143570,0,119.466,79.8019
1699175047047990,2,122.57,75.3778
1699175047543400,2,122.348,75.1691
1699175048779280,1,117.672,82.3201
1699175049357310,1,117.504,82.3496
1699175049969630,1,117.615,82.3302
1699175050724820,1,117.285,82.188
1699175051410820,1,117.46,82.2426
1699175052150500,1,117.097,82.3038
1699175054373880,1,116.891,82.3392
1699175054722000,2,122.308,75.1307
1699175054869870,0,119.453,80.3438
1699175055133510,1,116.769,82.361
1699175055295800,2,122.3,75.1229
1699175055774600,1,116.695,82.3749
1699175055832950,2,122.3,75.1227
1699175056056990,0,119.446,80.8171
1699175056502940,0,119.678,81.6651
1699175057213830,0,119.652,81.9538
1699175057307760,1,116.649,82.384
1699175057993710,0,119.63,82.186
1699175058123380,1,116.621,82.39
1699175058359900,0,119.611,82.3681
1699175058806630,1,116.606,82.394
1699175059317410,2,121.943,75.1586
1699175059536990,1,116.599,82.3965
1699175060177700,1,116.598,82.398
1699175060800530,1,116.51,82.4649
1699175061007850,0,119.484,82.5708
1699175061503360,1,116.444,82.5184
1699175062242520,1,116.354,82.6149
1699175062842820,1,116.285,82.6934
1699175063403190,0,119.375,82.7271
1699175063487420,1,116.147,82.7047
1699175064158500,1,116.036,82.7114
1699175064894160,1,115.948,82.7145
1699175065029800,0,119.201,82.7915
1699175065092390,2,121.742,75.1803
1699175065424360,0,119.054,82.8282
1699175065542080,1,115.962,82.7651
1699175065578590,2,121.623,75.1945
1699175066288480,2,121.55,75.2041
1699175066890240,2,121.505,75.2109
1699175067476580,1,115.903,82.8627
1699175068084720,1,115.739,83.0083
1699175068276470,0,118.931,82.8425
1699175069396990,1,115.603,83.1309
1699175069405950,2,121.479,75.2159
1699175070040270,2,121.464,75.2197
1699175070570760,2,121.352,75.1605
1699175070612220,1,115.493,83.2326
1699175071224760,1,115.406,83.3153
1699175071829570,2,121.27,75.1147
1699175071836890,1,115.339,83.3812
1699175072417130,1,115.289,83.4321
1699175073094280,1,115.253,83.4702
1699175073244790,2,121.248,75.0805
1699175073779430,1,115.192,83.4396
1699175074475330,1,115.146,83.4071
