time,filter_id,updated_x,updated_y
1729537927558141,0,127.571,82.0656
1729537930746361,0,127.569,82.0644
1729537931230911,0,127.57,82.0647
1729537931750491,0,127.57,82.0648
1729537932278721,0,127.57,82.0649
1729537932794621,0,127.57,82.0649
1729537933303381,0,127.466,82.1817
1729537933830881,0,127.402,82.2535
1729537934388341,0,127.446,82.2041
1729537934924021,0,127.283,82.3558
1729537935418801,0,127.167,82.4629
1729537935993501,0,127.084,82.5399
1729537936499651,0,127.024,82.5957
1729537937505851,0,126.98,82.6361
1729537938017591,0,126.887,82.5907
1729537938536511,0,126.787,82.5594
1729537939067301,0,126.71,82.5312
1729537939579391,0,126.595,82.4381
1729537940100171,0,126.503,82.3585
1729537940633251,0,126.431,82.2904
1729537941167061,0,126.376,82.2325
1729537941670541,0,126.336,82.1837
1729537942217371,0,126.307,82.1429
1729537942705711,0,126.288,82.1094
1729537943260551,0,126.278,82.0823
1729537943787171,0,126.275,82.0609
1729537944290581,0,126.277,82.0446
1729537944808611,0,126.283,82.0326
1729537945370251,0,126.292,82.0242
1729537945896091,0,126.303,82.019
1729537946411371,0,126.316,82.0163
1729537946951851,0,126.329,82.0157
1729537947453481,0,126.342,82.0167
1729537948005141,0,126.356,82.0189
1729537948528451,0,126.368,82.0221
1729537949076121,0,126.38,82.0258
1729537949647881,0,126.391,82.0298
1729537950169651,0,126.327,82.0967
1729537950733561,0,126.271,82.1554
1729537951273181,0,126.223,82.2063
1729537951781111,0,126.183,82.2496
1729537952845751,0,126.15,82.2859
1729537953922351,0,126.019,82.2678
1729537954424521,0,126.011,82.2979
1729537954897191,0,125.856,82.3298
1729537955874941,0,125.772,82.3008
1729537958180841,0,125.685,82.4375
1729537958649351,0,125.584,82.4464
1729537959143781,0,125.505,82.5682
1729537959618831,0,125.441,82.6717
1729537960119271,0,125.392,82.7582
1729537960590571,0,125.356,82.8292
1729537961076661,0,125.328,82.7697
1729537961542681,0,125.309,82.7127
1729537962022401,0,125.3,82.7756
1729537962457791,0,125.288,82.4783
1729537962950221,0,125.291,82.5654
1729537963388771,0,125.22,82.5876
1729537963863171,0,125.164,82.7229
1729537964774421,0,125.119,82.8403
1729537966323631,0,125.084,82.9406
1729537967636891,0,125.058,83.0248
1729537968499151,0,124.989,83.0313
1729537969342811,0,124.932,83.0324
1729537971153881,0,124.81,82.9747
1729537972266581,0,124.707,82.921
1729537972650571,0,124.623,82.8719
1729537973079751,0,124.556,82.8276
1729537973520761,0,124.503,82.7884
1729537973960761,0,124.388,82.8149
1729537974381861,0,124.293,82.8384
1729537974843061,0,124.218,82.8589
1729537976235001,0,124.156,82.7616
1729537976681181,0,124.066,82.8436
1729537977594601,0,123.994,82.9157
1729537978029711,0,123.938,82.9781
1729537978477531,0,123.896,83.0314
1729537978944501,0,123.867,83.0761
1729537979422861,0,123.847,83.113
1729537979914331,0,123.837,83.1427
1729537980623241,0,123.755,83.1122
1729537981336511,0,123.689,83.083
1729537982096591,0,123.637,83.0557
1729537982894511,0,123.597,83.0306
1729537983328161,0,123.567,83.0079
1729537983726861,0,123.547,82.9876
1729537994305651,0,123.298,82.8085
1729537994724111,0,123.086,82.6533
1729537995178761,0,122.908,82.5207
1729537995617851,0,122.762,82.4092
1729537996343731,0,122.644,82.3172
1729537997445391,0,122.552,82.2427
1729537997889391,0,122.438,82.2365
1729537998315411,0,122.392,82.1846
1729537999017361,0,122.363,82.1448
1729537999416441,0,122.271,82.1754
1729537999828321,0,122.2,82.2072
1729538000263061,0,122.102,82.2912
1729538000691951,0,122.026,82.3677
1729538001124931,0,121.967,82.4361
1729538001834061,0,121.846,82.444
1729538002496111,0,121.749,82.4507
1729538003151881,0,121.672,82.4563
1729538003527941,0,121.568,82.4017
1729538004220881,0,121.485,82.3538
1729538004945941,0,121.422,82.3124
1729538005614611,0,121.376,82.2773
1729538006380601,0,121.343,82.2479
1729538007049831,0,121.323,82.2238
1729538007703831,0,121.312,82.2045
1729538008395831,0,121.309,82.1894
1729538009084111,0,121.312,82.178
1729538009739601,0,121.242,82.118
1729538010432061,0,121.263,82.1191
1729538011143101,0,121.099,82.1362
1729538011503551,0,121.569,81.7278
1729538011889151,0,121.374,81.799
1729538011985351,0,121.826,80.557
1729538012268671,0,121.598,80.7913
1729538012438691,0,122.091,79.6346
1729538012658771,0,121.823,80.0225
1729538013075431,0,121.585,80.3848
1729538013306581,0,122.11,79.2749
1729538013460851,0,121.832,79.7655
1729538013811501,0,121.584,80.2142
1729538014191661,0,121.367,80.618
1729538014545871,0,121.179,80.9759
1729538015338591,0,121.019,81.2884
1729538015764751,0,120.886,81.5572
1729538016165391,0,120.776,81.7848
1729538016579791,0,120.689,81.9742
1729538016997551,0,120.62,82.1289
1729538017394301,0,120.568,82.2525
1729538018894861,0,120.543,82.415
1729538019257551,0,120.471,82.4199
1729538019617361,0,120.335,82.3604
1729538020928721,0,120.224,82.2979
1729538021284381,0,120.798,80.9996
1729538021642351,0,120.643,81.0972
1729538021795531,0,121.173,79.9421
1729538022436441,0,121.641,78.9302
1729538023039911,0,122.045,78.0598
1729538023672291,0,122.39,77.3251
1729538024307251,0,122.679,76.7177
1729538024946141,0,122.915,76.2269
1729538025596591,0,123.104,75.8411
1729538026224841,0,123.251,75.5481
1729538026859481,0,123.362,75.3357
1729538026998101,0,122.637,76.6229
1729538027310731,0,122.547,77.5058
1729538027467791,0,122.706,77.1462
1729538027682381,0,122.043,78.2486
1729538028082541,0,122.256,77.812
1729538028328711,0,121.651,78.8256
1729538028634251,0,121.916,78.3138
1729538029320641,0,122.155,77.8536
1729538029708421,0,121.574,78.8464
1729538030104741,0,120.99,79.655
1729538030683921,0,121.355,79.0199
1729538030762131,0,120.864,79.8333
1729538031194681,0,121.265,79.1499
1729538031506161,0,120.646,79.9305
1729538031903591,0,121.091,79.2124
1729538032166761,0,120.513,79.9616
1729538032421811,0,120.993,79.2203
1729538032874061,0,120.446,79.95
1729538033465981,0,120.951,79.1946
1729538033666201,0,120.424,79.9139
1729538033952281,0,120.945,79.1513
1729538034343621,0,120.431,79.8666
1729538034563711,0,120.962,79.1015
1729538035042631,0,121.436,78.4195
1729538035061011,0,120.867,79.2313
1729538035787921,0,120.368,79.9417
1729538036216951,0,120.911,79.1725
1729538036532081,0,120.416,79.8814
1729538037211221,0,119.987,80.4949
1729538037353801,0,120.513,79.5944
1729538037884951,0,120.088,80.2254
1729538037930951,0,120.615,79.342
1729538038534131,0,121.085,78.5545
1729538039238331,0,120.596,79.3193
1729538039641981,0,121.055,78.4397
1729538039979161,0,120.565,79.2329
1729538040748501,0,120.135,79.9298
1729538041405101,0,119.764,80.5332
1729538042194121,0,119.285,80.9922
1729538042825271,0,118.918,81.3237
1729538043128971,0,119.614,80.1891
1729538043443281,0,119.12,80.7011
1729538043935641,0,119.786,79.614
1729538044811391,0,119.289,80.1907
1729538045111121,0,119.978,79.1617
1729538045472591,0,119.466,79.8019
1729538048377011,2,122.57,75.3778
1729538048872421,2,122.348,75.1691
1729538050108301,1,117.672,82.3201
1729538050686331,1,117.504,82.3496
1729538051298651,1,117.615,82.3302
1729538052053841,1,117.285,82.188
1729538052739841,1,117.46,82.2426
1729538053479521,1,117.097,82.3038
1729538055702901,1,116.891,82.3392
1729538056051021,2,122.308,75.1307
1729538056198891,0,119.453,80.3438
1729538056462531,1,116.769,82.361
1729538056624821,2,122.3,75.1229
1729538057103621,1,116.695,82.3749
1729538057161971,2,122.3,75.1227
1729538057386011,0,119.446,80.8171
1729538057831961,0,119.678,81.6651
1729538058542851,0,119.652,81.9538
1729538058636781,1,116.649,82.384
1729538059322731,0,119.63,82.186
1729538059452401,1,116.621,82.39
1729538059688921,0,119.611,82.3681
1729538060135651,1,116.606,82.394
1729538060646431,2,121.943,75.1586
1729538060866011,1,116.599,82.3965
1729538061506721,1,116.598,82.398
1729538062129551,1,116.51,82.4649
1729538062336871,0,119.484,82.5708
1729538062832381,1,116.444,82.5184
1729538063571541,1,116.354,82.6149
1729538064171841,1,116.285,82.6934
1729538064732211,0,119.375,82.7271
1729538064816441,1,116.147,82.7047
1729538065487521,1,116.036,82.7114
1729538066223181,1,115.948,82.7145
1729538066358821,0,119.201,82.7915
1729538066421411,2,121.742,75.1803
1729538066753381,0,119.054,82.8282
1729538066871101,1,115.962,82.7651
1729538066907611,2,121.623,75.1945
1729538067617501,2,121.55,75.2041
1729538068219261,2,121.505,75.2109
1729538068805601,1,115.903,82.8627
1729538069413741,1,115.739,83.0083
1729538069605491,0,118.931,82.8425
1729538070726011,1,115.603,83.1309
1729538070734971,2,121.479,75.2159
1729538071369291,2,121.464,75.2197
1729538071899781,2,121.352,75.1605
1729538071941241,1,115.493,83.2326
1729538072553781,1,115.406,83.3153
1729538073158591,2,121.27,75.1147
1729538073165911,1,115.339,83.3812
1729538073746151,1,115.289,83.4321
1729538074423301,1,115.253,83.4702
1729538074573811,2,121.248,75.0805
1729538075108451,1,115.192,83.4396
1729538075804351,1,115.146,83.4071
1729538076498561,1,115.113,83.3739
1729538077829281,1,115.01,83.2915
1729538078026081,0,118.637,83.0033
1729538078529411,1,114.928,83.2168
1729538078700811,0,118.467,83.1798
1729538079161681,1,114.75,83.2525
1729538079660731,2,121.133,74.8756
1729538079722811,1,114.637,83.2358
1729538080152921,2,121.044,74.7092
1729538080294731,1,114.547,83.2204
1729538080966721,1,114.442,83.2537
1729538081684801,2,120.711,74.4217
1729538082155011,2,120.698,74.3345
1729538082318301,1,114.36,83.2823
1729538082405251,0,118.172,83.3247
1729538082782391,2,120.697,74.2673
1729538082859701,1,114.297,83.3066
1729538083391971,2,120.704,74.2168
1729538083442001,1,114.25,83.3269
1729538084035951,2,120.718,74.1805
1729538084064511,1,114.218,83.3435
1729538084661411,1,114.198,83.3567
1729538085209191,0,117.887,83.4438
1729538085605281,0,117.651,83.5329
1729538087215981,0,117.42,83.5378
1729538087640541,0,116.991,83.3761
1729538088442721,0,117.206,82.9805
1729538089217461,0,117.124,83.0817
1729538090907241,1,113.986,83.38
1729538091447871,1,113.807,83.399
1729538092091751,1,113.66,83.4142
1729538092838031,1,113.542,83.426
1729538093458251,1,113.448,83.4348
1729538094056691,1,113.377,83.4411
1729538094634851,1,113.325,83.4453
1729538095134801,1,113.289,83.4477
1729538095483461,0,116.708,82.1567
1729538095677191,1,113.189,83.503
1729538096335121,1,113.188,83.4959
1729538096894211,1,113.118,83.5424
1729538097558041,1,113.064,83.5817
1729538098145381,1,112.911,83.6114
1729538099356601,1,112.786,83.6354
1729538099906921,1,112.684,83.6542
1729538100559771,1,112.604,83.6685
1729538101204041,1,112.497,83.6868
1729538101919511,1,112.458,83.693
1729538102679121,1,112.387,83.7043
1729538103431631,1,112.334,83.7123
1729538104189861,1,112.295,83.7177
1729538104851701,1,112.269,83.7208
1729538105589201,1,112.175,83.7759
1729538106260161,1,112.1,83.8226
1729538106398961,2,120.33,74.0291
1729538106820191,1,112.007,83.8048
1729538107107311,2,120.002,73.9057
1729538107260261,1,111.967,83.8439
1729538107803081,1,111.825,83.771
1729538108435081,1,111.707,83.7057
1729538109157571,1,111.613,83.6479
1729538109825411,1,111.538,83.5977
1729538110582401,1,111.481,83.5547
1729538111325581,1,111.44,83.5185
1729538112075091,1,111.411,83.4885
1729538112775061,1,111.397,83.5658
1729538114174851,1,111.388,83.5336
1729538114285291,2,119.561,73.7813
1729538114938001,1,111.312,83.6612
1729538115549661,1,111.251,83.7735
1729538115725991,2,119.192,73.6821
1729538116289961,1,111.203,83.8708
1729538117030421,1,111.12,83.9622
1729538117766921,1,111.052,84.0391
1729538118536751,1,111,84.1026
1729538119174551,1,110.96,84.1539
1729538119890141,1,110.93,84.1944
1729538120040991,2,118.777,73.6635
1729538120597231,1,110.881,84.2699
1729538121293911,1,110.791,84.2382
1729538121469431,0,115.932,81.4747
1729538122047541,1,110.689,84.2507
1729538122647971,1,110.606,84.2579
1729538124015291,1,110.461,84.3135
1729538125330321,1,110.342,84.3588
1729538126033971,1,110.245,84.3949
1729538126802781,1,110.168,84.423
1729538127435091,1,110.109,84.444
1729538127998931,1,110.066,84.4589
1729538128648151,1,110.036,84.4688
1729538129306221,1,110.017,84.4744
1729538129814141,1,110.007,84.4766
1729538130359111,1,110.004,84.476
1729538131019611,1,110.007,84.4734
1729538131658211,1,110.015,84.4692
1729538132330191,1,110.025,84.4639
1729538132877611,1,109.911,84.519
1729538133536951,1,109.864,84.5571
1729538134050621,1,109.696,84.549
1729538134544241,1,109.554,84.54
1729538135118551,1,109.435,84.5305
1729538135694781,1,109.338,84.5211
1729538136365361,1,109.261,84.5118
1729538136517931,2,118.195,73.6258
1729538137049671,1,109.201,84.503
1729538137699351,1,109.157,84.4948
1729538138441281,1,109.125,84.4872
1729538139227851,1,109.104,84.4804
1729538139978641,1,109.092,84.4743
1729538140582401,1,109.088,84.469
1729538141144591,1,109.089,84.4644
1729538141713441,1,109.095,84.4605
1729538142323101,1,109.104,84.4573
1729538142879471,1,109.115,84.4547
1729538143520031,1,109.128,84.4526
1729538144096891,1,109.142,84.4509
1729538144766151,1,109.156,84.4497
1729538145309341,1,109.17,84.4489
1729538145928101,1,109.183,84.4483
1729538146530421,1,109.195,84.448
1729538147217561,1,109.129,84.5002
1729538148585721,1,108.99,84.4976
1729538149197741,1,108.87,84.4949
1729538149802211,1,108.768,84.4921
1729538150398281,1,108.683,84.4893
1729538151155681,2,117.435,73.6345
1729538151819201,2,116.803,73.6491
1729538153066591,2,115.281,74.0123
1729538156630881,1,108.506,84.4822
1729538157168041,1,108.356,84.4759
1729538157800041,1,108.233,84.4703
1729538158458271,1,108.055,84.5171
1729538158623331,2,114.798,74.0011
1729538159089151,1,107.827,84.5103
1729538159208381,2,114.385,73.9497
1729538159773121,1,107.637,84.5039
1729538160333051,1,107.483,84.498
1729538160939761,1,107.36,84.4926
1729538161535581,1,107.265,84.4878
1729538162145171,1,107.194,84.4835
