Timestamp (microseconds)      Peak Amplitude
1699174861009270                3145
1699174861011290                3311
1699174861029110                3145
1699174861031060                2061
1699174861046550                3436
1699174861050270                3020
1699174861065270                3603
1699174861075420                3519
1699174861087540                2561
1699174861089920                3311
1699174861099810                3394
1699174861114390                2936
1699174861127030                2895
1699174861134900                3311
1699174861139830                2728
1699174861156950                2728
1699174861162390                3644
1699174861169100                3270
1699174861180600                2978
1699174861189170                3936
1699174861203200                3020
1699174861214190                3020
1699174861221590                2978
1699174861229470                2686
1699174861239150                2395
1699174861252770                2728
1699174861261460                2478
1699174861269080                2645
1699174861282210                2728
1699174861288580                2645
1699174861299470                2978
1699174861315920                3769
1699174861323290                2436
1699174861327610                3020
1699174861345280                2145
1699174861347510                3020
1699174861362410                2728
1699174861374170                2395
1699174861378040                3145
1699174861387780                3978
1699174861406670                2811
1699174861406750                2936
1699174861417750                2270
1699174861433780                2686
1699174861436730                3020
1699174861453470                3145
1699174861459780                2353
1699174861466940                2728
1699174861478730                2061
1699174861495370                2853
1699174861496800                2811
1699174861510410                2395
1699174861523160                3228
1699174861526340                3853
1699174861540860                2061
1699174861548470                2936
1699174861564880                2811
1699174861566900                3186
1699174861584230                1895
1699174861588110                2520
1699174861602130                3394
1699174861612020                3020
1699174861623160                2561
1699174861627690                2561
1699174861638790                2686
1699174861646070                1770
1699174861656700                2853
1699174861672440                2395
1699174861681520                3186
1699174861691660                2811
1699174861697560                2270
1699174861709430                2770
1699174861723630                2436
1699174861729090                3311
1699174861735870                3311
1699174861753890                2936
1699174861756100                2645
1699174861766050                2603
1699174861775660                2686
1699174861786590                2436
1699174861803000                3311
1699174861804770                3561
1699174861815940                2895
1699174861825520                2770
1699174861840230                2478
1699174861843820                3478
1699174861856540                2228
1699174861867140                2645
1699174861877210                2811
1699174861890230                2686
1699174861893720                2853
1699174861903740                2270
1699174861921330                2603
1699174861925210                2311
1699174861936020                3228
1699174861942920                2228
1699174861955570                3145
1699174861971430                3228
1699174861974610                4103
1699174861990620                2603
1699174862000090                2186
1699174862004310                2853
1699174862018190                2436
1699174862031490                2228
1699174862034410                2478
1699174862047290                3020
1699174862052530                2645
1699174862070730                2311
1699174862071420                2686
1699174862083770                2770
1699174862099950                2978
1699174862105690                2770
1699174862117430                2728
1699174862121080                3394
1699174862134850                2353
1699174862145970                1811
1699174862157390                2353
1699174862167980                2436
1699174862172110                2436
1699174862188940                3103
1699174862192840                2645
1699174862209690                2603
1699174862213390                2936
1699174862225210                2728
1699174862238800                2561
1699174862243140                2686
1699174862254200                3478
1699174862260260                2145
1699174862276210                2311
1699174862288400                2561
1699174862297900                3103
1699174862300120                3186
1699174862319300                2395
1699174862324340                2603
1699174862331540                2853
1699174862346210                2603
1699174862352070                2645
1699174862365170                3061
1699174862374470                3061
1699174862378930                2270
1699174862391770                2811
1699174862402610                2311
1699174862411760                2395
1699174862421000                2270
1699174862436500                2770
1699174862440600                3270
1699174862452920                2311
1699174862462120                2520
1699174862477990                2061
1699174862484940                2728
1699174862489490                2603
1699174862503890                3394
1699174862512190                2561
1699174862518770                2895
1699174862528720                2686
1699174862545070                2395
1699174862551080                2561
1699174862565590                3103
1699174862576250                2353
1699174862580850                2478
1699174862596140                2353
1699174862599800                3394
1699174862616010                2478
1699174862617280                3020
1699174862635950                2020
1699174862637280                2603
1699174862650510                2936
1699174862663800                2978
1699174862669850                2395
1699174862683670                2770
1699174862687060                2561
1699174862697200                2353
1699174862714130                2561
1699174862725550                2770
1699174862728270                2395
1699174862739050                2478
1699174862752500                2186
1699174862765650                2270
1699174862769540                2895
1699174862777590                3061
1699174862786020                2395
1699174862795760                2270
1699174862811380                3145
1699174862823750                2228
1699174862828880                2561
1699174862844550                2228
1699174862846460                2520
1699174862860280                2603
1699174862866660                3020
1699174862878020                2686
1699174862894680               16018
1699174862896570               21643
1699174862907580                3686
1699174862923390                8894
1699174862925880                5853
1699174862943960                2186
1699174862945280                2270
1699174862954640                2645
1699174862970890                2520
1699174862979790                2561
1699174862989740                2686
1699174862995430                2311
1699174863008150                3061
1699174863014080                3394
1699174863033000                2978
1699174863035070                2770
1699174863050550                2645
1699174863056530                2186
1699174863065650                2645
1699174863080310                2561
1699174863089870                2686
1699174863101300                2561
1699174863108770                2728
1699174863122870                2978
1699174863122890                2978
1699174863137460                2603
1699174863150810                2478
1699174863162390                2061
1699174863165720                3228
1699174863178370                2770
1699174863187510                2686
1699174863198650                2770
1699174863207560                2645
1699174863221330                2311
1699174863222790                2978
1699174863233860                2561
1699174863242470                2228
1699174863254920                2270
1699174863263640                2395
1699174863274120                2561
1699174863289690                3186
1699174863293070                2311
1699174863301920                2520
1699174863317190                3145
1699174863321890                2311
1699174863331520                1770
1699174863344030                2145
1699174863353900                2561
1699174863367930                3311
1699174863376060                2561
1699174863387120                2395
1699174863391040                2395
1699174863408270                2436
1699174863411050                2603
1699174863424470                2353
1699174863434330                2936
1699174863443200                1936
1699174863451490                2353
1699174863460750                2895
1699174863474490                2353
1699174863489190                3728
1699174863490950                2686
1699174863499990                2353
1699174863518220                2270
1699174863523320                2520
1699174863531760                2228
1699174863541380                2270
1699174863554010                2436
1699174863567860                3103
1699174863571970                3103
1699174863586030                2978
1699174863590990                2603
1699174863599510                2228
1699174863618010                3561
1699174863621780                3020
1699174863636970                3853
1699174863639820                2520
1699174863651860                2270
1699174863664760                2645
1699174863675020                2603
1699174863678540                2603
1699174863696900                2145
1699174863704180                2978
1699174863710950                2520
1699174863718250                2103
1699174863733970                2395
1699174863739550                2770
1699174863753220                4019
1699174863757840                2603
1699174863775480                2728
