display_power=0
Wifi, Bluetooth, and HDMI are now blocked.
This code has been tested for python version 3.11.6, your version is: 3.11.2 (main, Mar 13 2023, 12:18:29) [GCC 12.2.0]
Listening to IP address,  192.168.100.220  and port  50000
You are using a UNIX-based system.
Assuming firmware version:  1240
Bytes per packet:        1004
Microseconds between packets:    1240
Number of channels:      4
Data bytes per channel:  248
Detecting over a time window of  0.01  seconds, using  8  packets
Sending wake up data to IP address:  192.168.100.220
Num packets received is  5000 0.0012420854568481446 23 4977
Num packets received is  10000 0.0012383458137512208 79 9921
Num packets received is  15000 0.0012379345893859864 151 14849
Num packets received is  20000 0.0012381550312042236 159 19841
Num packets received is  25000 0.0012455445289611816 7 24993
Num packets received is  30000 0.0012381536483764648 15 29985
Num packets received is  35000 0.0012381565570831299 47 34953
Num packets received is  40000 0.0012381504535675049 159 39841
Num packets received is  45000 0.0012455426692962646 135 44865
Num packets received is  50000 0.00123815336227417 47 49953
Num packets received is  55000 0.0012384196281433105 115 54885
Num packets received is  60000 0.0012378890037536621 95 59905
Num packets received is  65000 0.0012455421924591065 103 64897
Num packets received is  70000 0.0012381532669067383 47 69953
Num packets received is  75000 0.0012381530284881592 23 74977
Num packets received is  80000 0.0012381537437438964 31 79969
Num packets received is  85000 0.0012455421447753906 7 84993
Num packets received is  90000 0.0012381520748138428 15 89985
Num packets received is  95000 0.001238206148147583 178 94822
Num packets received is  100000 0.0012381007194519043 127 99873
Num packets received is  105000 0.0012456099987030028 135 104865
Num packets received is  110000 0.0012380838871002197 143 109857
Num packets received is  115000 0.0012381524562835693 151 114849
Num packets received is  120000 0.001238152265548706 159 119841
Num packets received is  125000 0.0012455399990081786 39 124961
Num packets received is  130000 0.0012383251667022704 88 129912
Num packets received is  135000 0.001237981414794922 119 134881
Num packets received is  140000 0.0012381572246551514 127 139873
Num packets received is  145000 0.0012455307960510253 71 144929
Num packets received is  150000 0.0012381524562835693 15 149985
Num packets received is  155000 0.0012381521701812744 23 154977
Num packets received is  160000 0.0012381967544555664 184 159816
Num packets received is  165000 0.0012460684776306153 98 164902
Num packets received is  170000 0.0012375871181488037 79 169921
Num packets received is  175000 0.0012381385803222657 151 174849
Num packets received is  180000 0.001238151788711548 159 179841
Num packets received is  185000 0.0012456872940063476 66 184934
Num packets received is  190000 0.0012380484104156494 47 189953
Num packets received is  195000 0.0012381062030792237 119 194881
Num packets received is  200000 0.001238282871246338 27 199973
Num packets received is  205000 0.0012454097747802734 39 204961
Num packets received is  210000 0.0012383767127990722 119 209881
Num packets received is  215000 0.0012379278182983399 151 214849
Num packets received is  220000 0.0012381520271301269 159 219841
Num packets received is  225000 0.0012455389499664306 71 224929
Num packets received is  230000 0.0012381529331207276 15 229985
Num packets received is  235000 0.0012381520271301269 119 234881
Num packets received is  240000 0.0012381515979766845 127 239873
Num packets received is  245000 0.0012455400466918945 103 244897
Num packets received is  250000 0.0012381521701812744 79 249921
Num packets received is  255000 0.0012381524085998536 87 254913
Num packets received is  260000 0.0012381558418273926 63 259937
Num packets received is  265000 0.001245534372329712 7 264993
Num packets received is  270000 0.0012381521701812744 15 269985
Num packets received is  275000 0.0012381525516510009 23 274977
Num packets received is  280000 0.001238151788711548 31 279969
Num packets received is  285000 0.0012455408096313477 7 284993
Num packets received is  290000 0.0012381518363952636 79 289921
Num packets received is  295000 0.0012381526470184327 87 294913
Num packets received is  300000 0.001238148307800293 95 299905
Num packets received is  305000 0.001245540189743042 101 304899
Num packets received is  310000 0.001238152313232422 15 309985
Num packets received is  315000 0.0012383339405059814 33 314967
Num packets received is  320000 0.0012379711151123047 159 319841
Num packets received is  325000 0.0012455399990081786 103 324897
Num packets received is  330000 0.0012381510734558105 111 329889
Num packets received is  335000 0.0012381524085998536 55 334945
Num packets received is  340000 0.001238151788711548 95 339905
Num packets received is  345000 0.001245541524887085 7 344993
Num packets received is  350000 0.0012381516456604004 143 349857
Num packets received is  355000 0.0012381527423858643 55 354945
